Var	Year	Month	Day	Value	Test
Tx	2000	7	23	28.5	daily_repetition
Tx	2000	7	24	28.5	daily_repetition
Tx	2000	7	25	28.5	daily_repetition
Tx	2000	7	26	28.5	daily_repetition
Tx	2000	11	15	28.5	climatic_outliers
Tx	2000	11	21	31.5	daily_repetition
Tx	2000	11	22	31.5	daily_repetition
Tx	2000	11	23	31.5	daily_repetition
Tx	2000	11	24	31.5	daily_repetition
Tx	2001	3	30	35.9	climatic_outliers
Tx	2001	4	11	32.5	daily_repetition
Tx	2001	4	12	32.5	daily_repetition
Tx	2001	4	13	32.5	daily_repetition
Tx	2001	4	14	32.5	daily_repetition
Tx	2002	4	3	33.0	daily_repetition
Tx	2002	4	4	33.0	daily_repetition
Tx	2002	4	5	33.0	daily_repetition
Tx	2002	4	6	33.0	daily_repetition
Tx	2002	4	7	33.0	daily_repetition
Tx	2003	7	25	28.5	daily_repetition
Tx	2003	7	27	28.5	daily_repetition
Tx	2003	7	28	28.5	daily_repetition
Tx	2003	7	29	28.5	daily_repetition
Tx	2003	7	30	28.5	daily_repetition
Tx	2004	2	2	28.0	climatic_outliers
Tx	2004	7	12	28.5	daily_repetition
Tx	2004	7	13	28.5	daily_repetition
Tx	2004	7	14	28.5	daily_repetition
Tx	2004	7	15	28.5	daily_repetition
Tx	2004	9	15	35.0	climatic_outliers
Tx	2006	3	22	29.0	climatic_outliers
Tx	2007	4	27	28.5	climatic_outliers
Tx	2008	3	24	29.0	climatic_outliers
Tx	2008	12	10	32.0	daily_repetition
Tx	2008	12	14	32.0	daily_repetition
Tx	2008	12	15	32.0	daily_repetition
Tx	2008	12	16	32.0	daily_repetition
Tx	2009	4	13	28.5	climatic_outliers
Tx	2011	1	26	32.0	daily_repetition
Tx	2011	1	30	32.0	daily_repetition
Tx	2011	1	31	32.0	daily_repetition
Tx	2011	2	1	32.0	daily_repetition
Tx	2012	2	13	28.6	climatic_outliers
Tx	2012	4	17	28.6	climatic_outliers
Tx	2013	3	28	28.5	climatic_outliers
Tx	2014	11	5	27.0	climatic_outliers
Tx	2015	3	31	28.7	climatic_outliers
Tx	2015	11	2	26.6	climatic_outliers
Tx	2016	9	26	38.4	climatic_outliers
Tx	2018	11	1	38.5	climatic_outliers
Tx	2019	7	5	39.5	climatic_outliers
Tx	2019	10	4	26.6	climatic_outliers
Tx	2019	10	5	25.5	climatic_outliers
Tx	2019	10	12	26.6	climatic_outliers
Tx	2019	12	23	35.7	climatic_outliers
Tx	2019	12	29	35.6	climatic_outliers
Tx	2020	3	23	29.4	climatic_outliers
Tx	2020	3	24	27.4	climatic_outliers
