Var	Year	Month	Day	Value	Test
Tn	2000	4	29	30.8	daily_out_of_range
Tn	2000	5	5	30.5	daily_out_of_range
Tn	2000	5	6	31.4	daily_out_of_range
Tn	2000	5	7	31.5	daily_out_of_range
Tn	2000	5	9	31.8	daily_out_of_range
Tn	2000	5	11	31.8	daily_out_of_range
Tn	2001	4	16	31.8	daily_out_of_range
Tn	2001	4	17	32.5	daily_out_of_range
Tn	2001	4	18	31.0	daily_out_of_range
Tn	2001	4	20	30.5	daily_out_of_range
Tn	2001	4	22	31.4	daily_out_of_range
Tn	2001	4	25	30.2	daily_out_of_range
Tn	2001	4	28	32.5	daily_out_of_range
Tn	2001	4	29	30.6	daily_out_of_range
Tn	2001	5	1	30.5	daily_out_of_range
Tn	2001	5	5	31.0	daily_out_of_range
Tn	2001	5	8	30.6	daily_out_of_range
Tn	2001	5	9	31.0	daily_out_of_range
Tn	2001	5	11	32.0	daily_out_of_range
Tn	2001	5	12	30.6	daily_out_of_range
Tn	2001	5	19	31.0	daily_out_of_range
Tn	2001	5	20	30.4	daily_out_of_range
Tn	2001	5	22	30.4	daily_out_of_range
Tn	2001	5	23	30.4	daily_out_of_range
Tn	2001	5	24	30.5	daily_out_of_range
Tn	2001	5	25	30.5	daily_out_of_range
Tn	2002	4	10	31.5	daily_out_of_range
Tn	2002	4	12	31.0	daily_out_of_range
Tn	2002	4	28	31.0	daily_out_of_range
Tn	2002	4	29	31.8	daily_out_of_range
Tn	2002	4	30	31.0	daily_out_of_range
Tn	2002	5	2	30.6	daily_out_of_range
Tn	2002	5	6	30.5	daily_out_of_range
Tn	2002	5	7	31.0	daily_out_of_range
Tn	2002	5	8	31.0	daily_out_of_range
Tn	2002	5	9	30.6	daily_out_of_range
Tn	2002	5	11	31.4	daily_out_of_range
Tn	2002	5	12	30.4	daily_out_of_range
Tn	2002	5	16	32.0	daily_out_of_range
Tn	2002	5	17	31.6	daily_out_of_range
Tn	2002	5	18	31.9	daily_out_of_range
Tn	2002	5	21	30.2	daily_out_of_range
Tn	2002	5	22	30.8	daily_out_of_range
Tn	2002	5	26	30.5	daily_out_of_range
Tn	2002	5	27	31.8	daily_out_of_range
Tn	2002	5	28	30.4	daily_out_of_range
Tn	2002	5	30	31.0	daily_out_of_range
Tn	2002	5	31	31.0	daily_out_of_range
Tn	2002	6	1	30.4	daily_out_of_range
Tn	2003	4	11	30.5	daily_out_of_range
Tn	2003	4	14	31.0	daily_out_of_range
Tn	2003	4	17	31.0	daily_out_of_range
Tn	2003	4	19	30.8	daily_out_of_range
