station	Var	Year	Month	Day	Value	Test
NGM00061099	Tn	2000	5	11	30.8	daily_out_of_range
NGM00061099	Tn	2001	4	28	30.1	daily_out_of_range
NGM00061099	Tn	2001	5	11	30.4	daily_out_of_range
NGM00061099	Tn	2002	4	11	30.2	daily_out_of_range
NGM00061099	Tn	2002	4	28	31.8	daily_out_of_range
NGM00061099	Tn	2002	5	2	30.4	daily_out_of_range
NGM00061099	Tn	2002	5	17	30.2	daily_out_of_range
NGM00061099	Tn	2005	3	3	32.3	daily_out_of_range
NGM00061099	Tn	2005	3	7	33.0	daily_out_of_range
NGM00061099	Tn	2005	4	17	30.2	daily_out_of_range
NGM00061099	Tn	2005	4	19	30.2	daily_out_of_range
NGM00061099	Tn	2005	4	28	31.2	daily_out_of_range
NGM00061099	Tn	2005	5	20	30.4	daily_out_of_range
NGM00061099	Tn	2006	4	24	30.5	daily_out_of_range
NGM00061099	Tn	2006	5	4	31.0	daily_out_of_range
NGM00061099	Tn	2007	4	17	30.2	daily_out_of_range
NGM00061099	Tn	2007	4	25	30.3	daily_out_of_range
NGM00061099	Tn	2008	4	21	30.7	daily_out_of_range
NGM00061099	Tn	2008	4	23	30.2	daily_out_of_range
NGM00061099	Tn	2008	5	1	30.5	daily_out_of_range
NGM00061099	Tn	2009	4	20	30.2	daily_out_of_range
NGM00061099	Tn	2010	3	19	30.5	daily_out_of_range
NGM00061099	Tn	2010	4	9	30.4	daily_out_of_range
NGM00061099	Tn	2010	4	14	31.0	daily_out_of_range
NGM00061099	Tn	2010	4	15	30.1	daily_out_of_range
NGM00061099	Tn	2010	4	16	30.8	daily_out_of_range
NGM00061099	Tn	2010	4	19	30.8	daily_out_of_range
NGM00061099	Tn	2010	4	21	32.3	daily_out_of_range
NGM00061099	Tn	2010	4	22	30.8	daily_out_of_range
NGM00061099	Tn	2010	5	5	30.4	daily_out_of_range
NGM00061099	Tn	2010	5	19	30.4	daily_out_of_range
NGM00061099	Tn	2011	4	19	30.5	daily_out_of_range
NGM00061099	Tn	2011	4	21	30.5	daily_out_of_range
NGM00061099	Tn	2011	4	22	30.1	daily_out_of_range
NGM00061099	Tn	2011	4	23	30.5	daily_out_of_range
NGM00061099	Tn	2012	4	11	30.5	daily_out_of_range
NGM00061099	Tn	2012	4	13	30.5	daily_out_of_range
NGM00061099	Tn	2012	4	28	30.5	daily_out_of_range
NGM00061099	Tn	2013	3	26	30.5	daily_out_of_range
NGM00061099	Tn	2014	3	30	30.2	daily_out_of_range
NGM00061099	Tn	2015	3	17	30.5	daily_out_of_range
NGM00061099	Tn	2015	3	23	30.5	daily_out_of_range
NGM00061099	Tn	2015	3	24	31.0	daily_out_of_range
NGM00061099	Tn	2015	4	11	32.0	daily_out_of_range
NGM00061099	Tn	2015	4	12	31.2	daily_out_of_range
NGM00061099	Tn	2015	5	3	30.6	daily_out_of_range
NGM00061099	Tn	2015	5	4	30.4	daily_out_of_range
NGM00061099	Tn	2015	5	18	31.0	daily_out_of_range
NGM00061099	Tn	2016	3	22	31.0	daily_out_of_range
NGM00061099	Tn	2016	3	31	30.6	daily_out_of_range
NGM00061099	Tn	2016	4	4	30.8	daily_out_of_range
NGM00061099	Tn	2016	4	8	30.2	daily_out_of_range
NGM00061099	Tn	2016	4	25	31.0	daily_out_of_range
NGM00061099	Tn	2016	4	26	30.9	daily_out_of_range
NGM00061099	Tn	2016	4	27	30.5	daily_out_of_range
NGM00061099	Tn	2016	5	1	30.5	daily_out_of_range
NGM00061099	Tn	2016	5	2	31.0	daily_out_of_range
NGM00061099	Tn	2016	5	3	31.0	daily_out_of_range
NGM00061099	Tn	2016	5	4	30.5	daily_out_of_range
NGM00061099	Tn	2016	5	6	31.0	daily_out_of_range
NGM00061099	Tn	2016	5	10	32.0	daily_out_of_range
NGM00061099	Tn	2016	5	12	30.5	daily_out_of_range
NGM00061099	Tn	2016	5	13	30.5	daily_out_of_range
NGM00061099	Tn	2017	4	3	30.5	daily_out_of_range
NGM00061099	Tn	2017	4	4	30.4	daily_out_of_range
NGM00061099	Tn	2017	4	15	31.0	daily_out_of_range
NGM00061099	Tn	2017	4	25	31.0	daily_out_of_range
NGM00061099	Tn	2018	4	20	30.2	daily_out_of_range
NGM00061099	Tn	2018	4	25	30.5	daily_out_of_range
NGM00061099	Tn	2018	4	26	30.5	daily_out_of_range
NGM00061099	Tn	2018	5	5	30.5	daily_out_of_range
NGM00061099	Tn	2019	3	21	31.0	daily_out_of_range
NGM00061099	Tn	2019	4	7	31.0	daily_out_of_range
NGM00061099	Tn	2019	4	13	31.0	daily_out_of_range
NGM00061099	Tn	2019	4	16	31.2	daily_out_of_range
NGM00061099	Tn	2019	4	22	31.0	daily_out_of_range
NGM00061099	Tn	2020	4	1	30.5	daily_out_of_range
NGM00061099	Tn	2020	4	25	30.5	daily_out_of_range
NGM00061099	Tn	2020	4	29	31.0	daily_out_of_range
