station	Var	Year	Month	Day	Value	Test
UV000005507	Tn	2001	4	5	31.0	daily_out_of_range
UV000005507	Tn	2005	4	9	30.5	daily_out_of_range
UV000005507	Tn	2005	4	13	31.6	daily_out_of_range
UV000005507	Tn	2005	4	15	31.4	daily_out_of_range
UV000005507	Tn	2006	4	23	30.1	daily_out_of_range
UV000005507	Tn	2007	4	4	31.7	daily_out_of_range
UV000005507	Tn	2007	4	5	31.5	daily_out_of_range
UV000005507	Tn	2007	5	11	30.4	daily_out_of_range
UV000005507	Tn	2008	4	23	30.4	daily_out_of_range
UV000005507	Tn	2009	4	1	30.6	daily_out_of_range
UV000005507	Tn	2009	4	27	30.5	daily_out_of_range
UV000005507	Tn	2010	4	12	30.1	daily_out_of_range
UV000005507	Tn	2010	4	19	31.3	daily_out_of_range
UV000005507	Tn	2010	4	20	31.8	daily_out_of_range
UV000005507	Tn	2010	4	21	30.5	daily_out_of_range
UV000005507	Tn	2010	4	22	30.5	daily_out_of_range
UV000005507	Tn	2010	5	10	30.4	daily_out_of_range
UV000005507	Tn	2011	5	17	31.1	daily_out_of_range
UV000005507	Tn	2013	4	2	30.4	daily_out_of_range
UV000005507	Tn	2015	3	24	30.3	daily_out_of_range
UV000005507	Tn	2015	5	17	31.0	daily_out_of_range
UV000005507	Tn	2016	4	1	30.9	daily_out_of_range
UV000005507	Tn	2016	4	4	30.4	daily_out_of_range
UV000005507	Tn	2016	4	5	30.6	daily_out_of_range
UV000005507	Tn	2016	4	15	30.4	daily_out_of_range
UV000005507	Tn	2016	4	16	30.9	daily_out_of_range
UV000005507	Tn	2016	4	21	30.6	daily_out_of_range
UV000005507	Tn	2016	4	23	30.2	daily_out_of_range
UV000005507	Tn	2016	4	24	30.4	daily_out_of_range
UV000005507	Tn	2016	4	25	31.0	daily_out_of_range
UV000005507	Tn	2016	4	26	31.4	daily_out_of_range
UV000005507	Tn	2016	5	1	30.9	daily_out_of_range
UV000005507	Tn	2016	5	2	31.2	daily_out_of_range
UV000005507	Tn	2016	5	4	30.5	daily_out_of_range
UV000005507	Tn	2017	4	23	30.2	daily_out_of_range
UV000005507	Tn	2017	4	25	30.1	daily_out_of_range
UV000005507	Tn	2017	5	9	30.1	daily_out_of_range
UV000005507	Tn	2018	3	20	30.4	daily_out_of_range
UV000005507	Tn	2018	4	12	30.2	daily_out_of_range
UV000005507	Tn	2018	4	30	30.3	daily_out_of_range
UV000005507	Tn	2018	5	5	30.4	daily_out_of_range
UV000005507	Tn	2020	4	15	30.2	daily_out_of_range
UV000005507	Tn	2020	4	18	30.5	daily_out_of_range
UV000005507	Tn	2020	4	19	30.3	daily_out_of_range
UV000005507	Tn	2020	4	22	30.5	daily_out_of_range
UV000005507	Tn	2020	4	23	30.7	daily_out_of_range
UV000005507	Tn	2020	5	3	30.4	daily_out_of_range
