Var	Year	Month	Day	Value	Test
Tn	2000	5	19	30.6	daily_out_of_range
Tn	2001	4	28	30.4	daily_out_of_range
Tn	2001	4	29	30.8	daily_out_of_range
Tn	2001	5	11	30.5	daily_out_of_range
Tn	2004	5	12	30.4	daily_out_of_range
Tn	2005	4	4	32.2	daily_out_of_range
Tn	2005	4	16	30.1	daily_out_of_range
Tn	2006	5	5	30.4	daily_out_of_range
Tn	2006	5	8	30.4	daily_out_of_range
Tn	2007	4	4	32.6	daily_out_of_range
Tn	2009	3	31	31.5	daily_out_of_range
Tn	2009	4	11	31.0	daily_out_of_range
Tn	2009	6	3	30.1	daily_out_of_range
Tn	2010	3	20	32.3	daily_out_of_range
Tn	2010	4	5	31.0	daily_out_of_range
Tn	2010	4	9	30.4	daily_out_of_range
Tn	2010	4	13	31.9	daily_out_of_range
Tn	2010	4	19	30.1	daily_out_of_range
Tn	2010	4	21	30.8	daily_out_of_range
Tn	2010	4	22	31.2	daily_out_of_range
Tn	2011	4	23	30.9	daily_out_of_range
Tn	2013	5	14	30.1	daily_out_of_range
Tn	2014	5	22	30.1	daily_out_of_range
Tn	2015	3	18	30.5	daily_out_of_range
Tn	2015	3	22	30.6	daily_out_of_range
Tn	2015	4	10	30.9	daily_out_of_range
Tn	2015	5	17	30.2	daily_out_of_range
Tn	2016	3	31	31.0	daily_out_of_range
Tn	2016	4	5	31.0	daily_out_of_range
Tn	2016	4	15	32.0	daily_out_of_range
Tn	2016	4	16	31.7	daily_out_of_range
Tn	2016	4	17	30.4	daily_out_of_range
Tn	2016	4	22	31.1	daily_out_of_range
Tn	2016	4	23	30.5	daily_out_of_range
Tn	2016	4	24	30.7	daily_out_of_range
Tn	2016	4	25	30.2	daily_out_of_range
Tn	2016	4	30	30.3	daily_out_of_range
Tn	2016	5	1	31.5	daily_out_of_range
Tn	2016	5	2	31.4	daily_out_of_range
Tn	2016	5	5	30.5	daily_out_of_range
Tn	2016	5	13	30.9	daily_out_of_range
Tn	2016	5	23	30.9	daily_out_of_range
Tn	2017	4	16	30.7	daily_out_of_range
Tn	2017	4	17	30.1	daily_out_of_range
Tn	2017	4	21	30.7	daily_out_of_range
Tn	2017	5	9	30.8	daily_out_of_range
Tn	2018	4	22	30.5	daily_out_of_range
Tn	2018	4	25	31.0	daily_out_of_range
Tn	2020	3	17	30.7	daily_out_of_range
Tn	2020	3	29	32.0	daily_out_of_range
Tn	2020	4	15	30.7	daily_out_of_range
Tn	2020	4	17	30.8	daily_out_of_range
Tn	2020	4	18	31.6	daily_out_of_range
Tn	2020	4	24	30.2	daily_out_of_range
Tn	2020	5	8	30.4	daily_out_of_range
Tn	2020	5	9	30.8	daily_out_of_range
Tn	2020	8	22	11.3	climatic_outliers
