time,lon,lat,ETP
2021-01-01,11.52,3.87,2.998
2021-01-01,13.4,9.3,3.11
2021-01-02,11.52,3.87,2.9410000000000003
2021-01-02,13.4,9.3,3.089
2021-01-03,11.52,3.87,3.223
2021-01-03,13.4,9.3,3.25
2021-01-04,11.52,3.87,2.875
2021-01-04,13.4,9.3,3.285
2021-01-05,11.52,3.87,3.227
2021-01-05,13.4,9.3,3.1830000000000003
2021-01-06,11.52,3.87,1.109
2021-01-06,13.4,9.3,3.2
2021-01-07,11.52,3.87,2.71
2021-01-07,13.4,9.3,3.258
2021-01-08,11.52,3.87,3.537
2021-01-08,13.4,9.3,3.2640000000000002
2021-01-09,11.52,3.87,3.357
2021-01-09,13.4,9.3,3.323
2021-01-10,11.52,3.87,3.668
2021-01-10,13.4,9.3,3.274
2021-01-11,11.52,3.87,3.39
2021-01-11,13.4,9.3,3.213
2021-01-12,11.52,3.87,2.961
2021-01-12,13.4,9.3,3.194
2021-01-13,11.52,3.87,3.347
2021-01-13,13.4,9.3,3.194
2021-01-14,11.52,3.87,2.782
2021-01-14,13.4,9.3,3.1870000000000003
2021-01-15,11.52,3.87,3.0020000000000002
2021-01-15,13.4,9.3,3.117
2021-01-16,11.52,3.87,2.57
2021-01-16,13.4,9.3,3.033
2021-01-17,11.52,3.87,2.426
2021-01-17,13.4,9.3,3.11
2021-01-18,11.52,3.87,2.844
2021-01-18,13.4,9.3,3.18
2021-01-19,11.52,3.87,3.1
2021-01-19,13.4,9.3,3.194
2021-01-20,11.52,3.87,3.0220000000000002
2021-01-20,13.4,9.3,3.0460000000000003
2021-01-21,11.52,3.87,3.076
2021-01-21,13.4,9.3,3.019
2021-01-22,11.52,3.87,2.85
2021-01-22,13.4,9.3,3.0260000000000002
2021-01-23,11.52,3.87,2.6510000000000002
2021-01-23,13.4,9.3,3.0380000000000003
2021-01-24,11.52,3.87,2.6670000000000003
2021-01-24,13.4,9.3,3.2
2021-01-25,11.52,3.87,2.628
2021-01-25,13.4,9.3,3.285
2021-01-26,11.52,3.87,2.677
2021-01-26,13.4,9.3,3.259
2021-01-27,11.52,3.87,2.402
2021-01-27,13.4,9.3,3.3280000000000003
2021-01-28,11.52,3.87,2.59
2021-01-28,13.4,9.3,3.403
2021-01-29,11.52,3.87,2.617
2021-01-29,13.4,9.3,3.435
2021-01-30,11.52,3.87,2.614
2021-01-30,13.4,9.3,3.258
2021-01-31,11.52,3.87,2.3850000000000002
2021-01-31,13.4,9.3,3.2880000000000003
2021-02-01,11.52,3.87,1.86
2021-02-01,13.4,9.3,3.274
2021-02-02,11.52,3.87,2.332
2021-02-02,13.4,9.3,3.366
2021-02-03,11.52,3.87,1.846
2021-02-03,13.4,9.3,3.4250000000000003
2021-02-04,11.52,3.87,2.674
2021-02-04,13.4,9.3,3.495
2021-02-05,11.52,3.87,2.726
2021-02-05,13.4,9.3,3.419
2021-02-06,11.52,3.87,2.622
2021-02-06,13.4,9.3,3.428
2021-02-07,11.52,3.87,2.386
2021-02-07,13.4,9.3,3.436
2021-02-08,11.52,3.87,2.42
2021-02-08,13.4,9.3,3.531
2021-02-09,11.52,3.87,2.658
2021-02-09,13.4,9.3,3.624
2021-02-10,11.52,3.87,2.43
2021-02-10,13.4,9.3,3.612
2021-02-11,11.52,3.87,2.3890000000000002
2021-02-11,13.4,9.3,3.443
2021-02-12,11.52,3.87,2.427
2021-02-12,13.4,9.3,3.471
2021-02-13,11.52,3.87,2.2
2021-02-13,13.4,9.3,3.478
2021-02-14,11.52,3.87,1.982
2021-02-14,13.4,9.3,3.438
2021-02-15,11.52,3.87,1.7850000000000001
2021-02-15,13.4,9.3,3.547
2021-02-16,11.52,3.87,2.594
2021-02-16,13.4,9.3,3.834
2021-02-17,11.52,3.87,2.519
2021-02-17,13.4,9.3,3.605
2021-02-18,11.52,3.87,2.316
2021-02-18,13.4,9.3,3.198
2021-02-19,11.52,3.87,2.081
2021-02-19,13.4,9.3,3.033
2021-02-20,11.52,3.87,1.666
2021-02-20,13.4,9.3,3.088
2021-02-21,11.52,3.87,1.881
2021-02-21,13.4,9.3,3.298
2021-02-22,11.52,3.87,1.3860000000000001
2021-02-22,13.4,9.3,3.2960000000000003
2021-02-23,11.52,3.87,1.079
2021-02-23,13.4,9.3,3.387
2021-02-24,11.52,3.87,2.037
2021-02-24,13.4,9.3,3.434
2021-02-25,11.52,3.87,2.375
2021-02-25,13.4,9.3,3.488
2021-02-26,11.52,3.87,2.161
2021-02-26,13.4,9.3,3.551
2021-02-27,11.52,3.87,1.855
2021-02-27,13.4,9.3,3.5260000000000002
2021-02-28,11.52,3.87,2.04
2021-02-28,13.4,9.3,3.676
2021-03-01,11.52,3.87,2.177
2021-03-01,13.4,9.3,3.712
2021-03-02,11.52,3.87,1.988
2021-03-02,13.4,9.3,3.831
2021-03-03,11.52,3.87,2.123
2021-03-03,13.4,9.3,3.787
2021-03-04,11.52,3.87,1.7590000000000001
2021-03-04,13.4,9.3,3.749
2021-03-05,11.52,3.87,2.1550000000000002
2021-03-05,13.4,9.3,3.6830000000000003
2021-03-06,11.52,3.87,1.727
2021-03-06,13.4,9.3,3.865
2021-03-07,11.52,3.87,2.1470000000000002
2021-03-07,13.4,9.3,3.948
2021-03-08,11.52,3.87,1.992
2021-03-08,13.4,9.3,3.948
2021-03-09,11.52,3.87,1.8820000000000001
2021-03-09,13.4,9.3,3.9
2021-03-10,11.52,3.87,1.2530000000000001
2021-03-10,13.4,9.3,3.977
2021-03-11,11.52,3.87,3.712
2021-03-11,13.4,9.3,3.811
2021-03-12,11.52,3.87,2.306
2021-03-12,13.4,9.3,3.601
2021-03-13,11.52,3.87,3.237
2021-03-13,13.4,9.3,3.452
2021-03-14,11.52,3.87,2.742
2021-03-14,13.4,9.3,3.552
2021-03-15,11.52,3.87,1.824
2021-03-15,13.4,9.3,3.424
2021-03-16,11.52,3.87,2.996
2021-03-16,13.4,9.3,3.5820000000000003
2021-03-17,11.52,3.87,3.188
2021-03-17,13.4,9.3,3.64
2021-03-18,11.52,3.87,2.887
2021-03-18,13.4,9.3,3.3200000000000003
2021-03-19,11.52,3.87,1.35
2021-03-19,13.4,9.3,2.888
2021-03-20,11.52,3.87,0.539
2021-03-20,13.4,9.3,3.293
2021-03-21,11.52,3.87,4.535
2021-03-21,13.4,9.3,3.5020000000000002
2021-03-22,11.52,3.87,2.802
2021-03-22,13.4,9.3,3.31
2021-03-23,11.52,3.87,4.3500000000000005
2021-03-23,13.4,9.3,3.5060000000000002
2021-03-24,11.52,3.87,1.276
2021-03-24,13.4,9.3,3.17
2021-03-25,11.52,3.87,3.204
2021-03-25,13.4,9.3,3.458
2021-03-26,11.52,3.87,3.318
2021-03-26,13.4,9.3,3.722
2021-03-27,11.52,3.87,3.7070000000000003
2021-03-27,13.4,9.3,3.862
2021-03-28,11.52,3.87,3.1870000000000003
2021-03-28,13.4,9.3,3.727
2021-03-29,11.52,3.87,2.636
2021-03-29,13.4,9.3,3.759
2021-03-30,11.52,3.87,4.168
2021-03-30,13.4,9.3,3.734
2021-03-31,11.52,3.87,4.206
2021-03-31,13.4,9.3,3.8320000000000003
2021-04-01,11.52,3.87,3.789
2021-04-01,13.4,9.3,3.8160000000000003
2021-04-02,11.52,3.87,2.5020000000000002
2021-04-02,13.4,9.3,3.8360000000000003
2021-04-03,11.52,3.87,4.335
2021-04-03,13.4,9.3,3.927
2021-04-04,11.52,3.87,4.6080000000000005
2021-04-04,13.4,9.3,3.938
2021-04-05,11.52,3.87,2.535
2021-04-05,13.4,9.3,3.946
2021-04-06,11.52,3.87,1.93
2021-04-06,13.4,9.3,3.943
2021-04-07,11.52,3.87,4.484
2021-04-07,13.4,9.3,4.094
2021-04-08,11.52,3.87,3.052
2021-04-08,13.4,9.3,4.105
2021-04-09,11.52,3.87,3.727
2021-04-09,13.4,9.3,3.668
2021-04-10,11.52,3.87,3.559
2021-04-10,13.4,9.3,3.6
2021-04-11,11.52,3.87,2.724
2021-04-11,13.4,9.3,3.629
2021-04-12,11.52,3.87,3.323
2021-04-12,13.4,9.3,3.5140000000000002
2021-04-13,11.52,3.87,3.1870000000000003
2021-04-13,13.4,9.3,2.181
2021-04-14,11.52,3.87,2.612
2021-04-14,13.4,9.3,3.448
2021-04-15,11.52,3.87,4.2620000000000005
2021-04-15,13.4,9.3,3.541
2021-04-16,11.52,3.87,3.079
2021-04-16,13.4,9.3,3.731
2021-04-17,11.52,3.87,2.791
2021-04-17,13.4,9.3,3.6390000000000002
2021-04-18,11.52,3.87,3.676
2021-04-18,13.4,9.3,3.02
2021-04-19,11.52,3.87,1.688
2021-04-19,13.4,9.3,3.622
2021-04-20,11.52,3.87,3.998
2021-04-20,13.4,9.3,3.58
2021-04-21,11.52,3.87,2.962
2021-04-21,13.4,9.3,3.622
2021-04-22,11.52,3.87,3.375
2021-04-22,13.4,9.3,3.275
2021-04-23,11.52,3.87,3.13
2021-04-23,13.4,9.3,2.601
2021-04-24,11.52,3.87,1.8980000000000001
2021-04-24,13.4,9.3,3.011
2021-04-25,11.52,3.87,3.863
2021-04-25,13.4,9.3,3.141
2021-04-26,11.52,3.87,2.956
2021-04-26,13.4,9.3,3.424
2021-04-27,11.52,3.87,3.236
2021-04-27,13.4,9.3,3.448
2021-04-28,11.52,3.87,3.0060000000000002
2021-04-28,13.4,9.3,3.023
2021-04-29,11.52,3.87,2.117
2021-04-29,13.4,9.3,3.311
2021-04-30,11.52,3.87,4.22
2021-04-30,13.4,9.3,3.593
2021-05-01,11.52,3.87,2.914
2021-05-01,13.4,9.3,3.337
2021-05-02,11.52,3.87,3.13
2021-05-02,13.4,9.3,2.835
2021-05-03,11.52,3.87,1.456
2021-05-03,13.4,9.3,3.136
2021-05-04,11.52,3.87,0.809
2021-05-04,13.4,9.3,3.075
2021-05-05,11.52,3.87,4.21
2021-05-05,13.4,9.3,2.582
2021-05-06,11.52,3.87,2.953
2021-05-06,13.4,9.3,3.2800000000000002
2021-05-07,11.52,3.87,1.5050000000000001
2021-05-07,13.4,9.3,2.164
2021-05-08,11.52,3.87,2.186
2021-05-08,13.4,9.3,3.83
2021-05-09,11.52,3.87,3.234
2021-05-09,13.4,9.3,2.867
2021-05-10,11.52,3.87,4.808
2021-05-10,13.4,9.3,3.569
2021-05-11,11.52,3.87,3.922
2021-05-11,13.4,9.3,3.6510000000000002
2021-05-12,11.52,3.87,3.213
2021-05-12,13.4,9.3,3.5820000000000003
2021-05-13,11.52,3.87,1.839
2021-05-13,13.4,9.3,2.863
2021-05-14,11.52,3.87,3.8360000000000003
2021-05-14,13.4,9.3,2.963
2021-05-15,11.52,3.87,3.5740000000000003
2021-05-15,13.4,9.3,2.521
2021-05-16,11.52,3.87,2.63
2021-05-16,13.4,9.3,3.225
2021-05-17,11.52,3.87,3.476
2021-05-17,13.4,9.3,2.552
2021-05-18,11.52,3.87,2.811
2021-05-18,13.4,9.3,3.023
2021-05-19,11.52,3.87,2.219
2021-05-19,13.4,9.3,3.2720000000000002
2021-05-20,11.52,3.87,2.7720000000000002
2021-05-20,13.4,9.3,3.224
2021-05-21,11.52,3.87,2.57
2021-05-21,13.4,9.3,2.373
2021-05-22,11.52,3.87,1.552
