Date,TMAX,TMIN,PR,lat,lon
19910101,31.39,16.64,0.0,9.336,13.37
19910102,32.68,17.15,0.0,9.336,13.37
19910103,34.67,17.87,0.0,9.336,13.37
19910104,35.77,18.83,0.0,9.336,13.37
19910105,36.41,19.62,0.0,9.336,13.37
19910106,36.97,18.78,0.0,9.336,13.37
19910107,36.61,19.32,0.0,9.336,13.37
19910108,37.22,19.36,0.0,9.336,13.37
19910109,36.56,18.92,0.0,9.336,13.37
19910110,37.15,20.12,0.0,9.336,13.37
19910111,36.57,19.05,0.0,9.336,13.37
19910112,34.91,18.02,0.0,9.336,13.37
19910113,35.41,17.74,0.0,9.336,13.37
19910114,36.0,17.79,0.0,9.336,13.37
19910115,36.38,18.53,0.0,9.336,13.37
19910116,37.43,19.19,0.0,9.336,13.37
19910117,39.11,19.87,0.0,9.336,13.37
19910118,36.46,19.75,0.0,9.336,13.37
19910119,37.0,17.93,0.0,9.336,13.37
19910120,36.9,18.13,0.0,9.336,13.37
19910121,36.77,19.24,0.0,9.336,13.37
19910122,37.68,19.84,0.0,9.336,13.37
19910123,38.71,19.58,0.0,9.336,13.37
19910124,38.74,22.3,0.0,9.336,13.37
19910125,38.76,21.5,0.0,9.336,13.37
19910126,38.46,20.82,0.0,9.336,13.37
19910127,37.62,20.2,0.0,9.336,13.37
19910128,38.05,19.59,0.0,9.336,13.37
19910129,38.91,19.34,0.0,9.336,13.37
19910130,39.21,19.52,0.0,9.336,13.37
19910131,37.55,20.6,0.0,9.336,13.37
19910201,37.62,18.36,0.0,9.336,13.37
19910202,37.36,19.0,0.0,9.336,13.37
19910203,38.23,18.61,0.0,9.336,13.37
19910204,38.0,20.25,0.0,9.336,13.37
19910205,39.66,22.0,0.0,9.336,13.37
19910206,39.62,21.59,0.0,9.336,13.37
19910207,39.35,21.56,0.0,9.336,13.37
19910208,37.93,21.28,0.0,9.336,13.37
19910209,39.45,20.79,0.0,9.336,13.37
19910210,39.14,23.46,0.0,9.336,13.37
19910211,39.37,21.49,0.0,9.336,13.37
19910212,39.17,22.01,0.0,9.336,13.37
19910213,40.51,22.85,0.0,9.336,13.37
19910214,40.55,20.83,0.0,9.336,13.37
19910215,40.61,22.58,0.0,9.336,13.37
19910216,40.09,21.55,0.0,9.336,13.37
19910217,38.86,22.74,0.0,9.336,13.37
19910218,40.67,23.59,0.0,9.336,13.37
19910219,40.7,22.0,0.0,9.336,13.37
19910220,40.35,22.93,0.0,9.336,13.37
19910221,40.51,24.91,0.0,9.336,13.37
19910222,42.04,23.85,0.0,9.336,13.37
19910223,41.43,23.98,0.0,9.336,13.37
19910224,40.97,25.34,0.0,9.336,13.37
19910225,39.22,23.21,0.01,9.336,13.37
19910226,37.43,23.1,0.0,9.336,13.37
19910227,38.62,22.2,0.01,9.336,13.37
19910228,40.48,23.94,0.0,9.336,13.37
19910301,40.11,24.44,0.0,9.336,13.37
19910302,37.17,26.56,0.05,9.336,13.37
19910303,35.54,25.28,0.0,9.336,13.37
19910304,39.29,24.1,0.0,9.336,13.37
19910305,38.72,24.19,0.0,9.336,13.37
19910306,38.67,22.87,0.0,9.336,13.37
19910307,39.16,23.18,0.0,9.336,13.37
19910308,40.52,23.78,0.0,9.336,13.37
19910309,42.1,24.97,0.0,9.336,13.37
19910310,42.19,25.31,0.0,9.336,13.37
19910311,41.13,24.31,0.0,9.336,13.37
19910312,42.83,24.74,0.0,9.336,13.37
